provider,probe_type,t_write,delay_s,cache_read_tokens,cache_creation_tokens,latency_ms,verdict,cost_usd,note
anthropic,ttl_curve,2026-01-01T00:00:00+00:00,30.0,2048,0,361.4,hit,0.0085344,
anthropic,ttl_curve,2026-01-01T00:00:31.378240+00:00,60.0,2048,0,361.4,hit,0.0085344,
anthropic,ttl_curve,2026-01-01T00:01:32.756480+00:00,120.0,2048,0,361.4,hit,0.0085344,
anthropic,ttl_curve,2026-01-01T00:03:34.134720+00:00,240.0,2048,0,361.4,hit,0.0085344,
anthropic,ttl_curve,2026-01-01T00:07:35.512959+00:00,480.0,0,2048,1016.8,miss,0.0156,
anthropic,ttl_curve,2026-01-01T00:15:37.546559+00:00,960.0,0,2048,1016.8,miss,0.0156,
anthropic,ttl_curve,2026-01-01T00:31:39.580159+00:00,1920.0,0,2048,1016.8,miss,0.0156,
anthropic,ttl_curve,2026-01-01T01:03:41.613759+00:00,3840.0,0,2048,1016.8,miss,0.0156,
anthropic,ttl_curve,2026-01-01T02:07:43.647359+00:00,7680.0,0,2048,1016.8,miss,0.0156,
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,2.0,0,2304,1106.4,miss,0.01656,offset=0
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,4.1,0,2304,1106.4,miss,0.01656,offset=256
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,6.2,0,2304,1106.4,miss,0.01656,offset=512
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,8.3,0,2304,1106.4,miss,0.01656,offset=768
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,10.4,0,2304,1106.4,miss,0.01656,offset=1024
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,12.5,0,2304,1106.4,miss,0.01656,offset=1152
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,14.7,0,2304,1106.4,miss,0.01656,offset=1280
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,16.8,0,2304,1106.4,miss,0.01656,offset=1536
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,18.9,0,2304,1106.4,miss,0.01656,offset=1792
anthropic,granularity,2026-01-01T04:15:45.680959+00:00,21.0,2048,256,451.0,hit,0.0094944,offset=2048
anthropic,claims_check,2026-01-01T04:16:07.106399+00:00,150.0,2048,0,361.4,hit,0.0085344,claim=ttl_value:inside ttl=300s
anthropic,claims_check,2026-01-01T04:18:38.484639+00:00,450.0,0,2048,1016.8,miss,0.0156,claim=ttl_value:past ttl=300s
anthropic,claims_check,2026-01-01T04:26:10.518239+00:00,180.0,2048,0,361.4,hit,0.0085344,claim=refresh_on_hit:first
anthropic,claims_check,2026-01-01T04:26:10.518239+00:00,360.0,2048,0,361.4,hit,0.0085344,claim=refresh_on_hit:second
anthropic,claims_check,2026-01-01T04:32:12.257918+00:00,0.0,0,2048,1016.8,write,0.0078,claim=write_premium implied=1.250x expected=1.250x
anthropic,claims_check,2026-01-01T04:32:13.274718+00:00,5.0,0,0,636.0,miss,0.006,claim=min_cacheable:below n=960
anthropic,claims_check,2026-01-01T04:32:19.546718+00:00,5.0,1088,0,332.6,hit,0.0046464,claim=min_cacheable:above n=1088
openai,ttl_curve,2026-01-01T00:00:00+00:00,30.0,2048,0,301.2,hit,0.00784,
openai,ttl_curve,2026-01-01T00:00:31.206560+00:00,60.0,2048,0,301.2,hit,0.00784,
openai,ttl_curve,2026-01-01T00:01:32.413120+00:00,120.0,2048,0,301.2,hit,0.00784,
openai,ttl_curve,2026-01-01T00:03:33.619680+00:00,240.0,2048,0,301.2,hit,0.00784,
openai,ttl_curve,2026-01-01T00:07:34.826240+00:00,480.0,0,0,905.4,miss,0.0104,
openai,ttl_curve,2026-01-01T00:15:36.636960+00:00,960.0,0,0,905.4,miss,0.0104,
openai,ttl_curve,2026-01-01T00:31:38.447680+00:00,1920.0,0,0,905.4,miss,0.0104,
openai,ttl_curve,2026-01-01T01:03:40.258399+00:00,3840.0,0,0,905.4,miss,0.0104,
openai,ttl_curve,2026-01-01T02:07:42.069119+00:00,7680.0,0,0,905.4,miss,0.0104,
openai,granularity,2026-01-01T04:15:43.879839+00:00,1.9,0,0,987.3,miss,0.01104,offset=0
openai,granularity,2026-01-01T04:15:43.879839+00:00,3.9,0,0,987.3,miss,0.01104,offset=256
openai,granularity,2026-01-01T04:15:43.879839+00:00,5.9,0,0,987.3,miss,0.01104,offset=512
openai,granularity,2026-01-01T04:15:43.879839+00:00,7.9,0,0,987.3,miss,0.01104,offset=768
openai,granularity,2026-01-01T04:15:43.879839+00:00,9.9,1024,0,685.2,hit,0.00976,offset=1024
openai,granularity,2026-01-01T04:15:43.879839+00:00,11.5,1152,0,647.4,hit,0.0096,offset=1152
openai,granularity,2026-01-01T04:15:43.879839+00:00,13.2,1280,0,609.7,hit,0.00944,offset=1280
openai,granularity,2026-01-01T04:15:43.879839+00:00,14.8,1536,0,534.2,hit,0.00912,offset=1536
openai,granularity,2026-01-01T04:15:43.879839+00:00,16.3,1792,0,458.6,hit,0.0088,offset=1792
openai,granularity,2026-01-01T04:15:43.879839+00:00,17.8,2048,0,383.1,hit,0.00848,offset=2048
openai,claims_check,2026-01-01T04:16:02.052559+00:00,150.0,2048,0,301.2,hit,0.00784,claim=ttl_value:inside ttl=300s
openai,claims_check,2026-01-01T04:18:33.259119+00:00,450.0,0,0,905.4,miss,0.0104,claim=ttl_value:past ttl=300s
openai,claims_check,2026-01-01T04:26:05.069839+00:00,180.0,2048,0,301.2,hit,0.00784,claim=refresh_on_hit:first
openai,claims_check,2026-01-01T04:26:05.069839+00:00,360.0,2048,0,301.2,hit,0.00784,claim=refresh_on_hit:second
openai,claims_check,2026-01-01T04:32:06.577599+00:00,0.0,0,0,905.4,write,0.0052,claim=write_premium implied=1.000x expected=1.000x
openai,claims_check,2026-01-01T04:32:07.482959+00:00,5.0,0,0,536.7,miss,0.00464,claim=min_cacheable:below n=896
openai,claims_check,2026-01-01T04:32:13.556399+00:00,5.0,1152,0,278.8,hit,0.00448,claim=min_cacheable:above n=1152
gemini,ttl_curve,2026-01-01T00:00:00+00:00,30.0,2048,0,401.2,hit,0.002856,
gemini,ttl_curve,2026-01-01T00:00:31.365600+00:00,60.0,2048,0,401.2,hit,0.002856,
gemini,ttl_curve,2026-01-01T00:01:32.731200+00:00,120.0,2048,0,401.2,hit,0.002856,
gemini,ttl_curve,2026-01-01T00:03:34.096800+00:00,240.0,2048,0,401.2,hit,0.002856,
gemini,ttl_curve,2026-01-01T00:07:35.462400+00:00,480.0,2048,0,401.2,hit,0.002856,
gemini,ttl_curve,2026-01-01T00:15:36.828001+00:00,960.0,2048,0,401.2,hit,0.002856,
gemini,ttl_curve,2026-01-01T00:31:38.193601+00:00,1920.0,2048,0,401.2,hit,0.002856,
gemini,ttl_curve,2026-01-01T01:03:39.559201+00:00,3840.0,0,2048,964.4,miss,0.0053648,
gemini,ttl_curve,2026-01-01T02:07:41.488001+00:00,7680.0,0,2048,964.4,miss,0.0053648,
gemini,granularity,2026-01-01T04:15:43.416801+00:00,2.0,0,2304,1041.2,miss,0.0056976,offset=0
gemini,granularity,2026-01-01T04:15:43.416801+00:00,4.0,0,2304,1041.2,miss,0.0056976,offset=256
gemini,granularity,2026-01-01T04:15:43.416801+00:00,6.0,0,2304,1041.2,miss,0.0056976,offset=512
gemini,granularity,2026-01-01T04:15:43.416801+00:00,8.1,0,2304,1041.2,miss,0.0056976,offset=768
gemini,granularity,2026-01-01T04:15:43.416801+00:00,10.1,0,2304,1041.2,miss,0.0056976,offset=1024
gemini,granularity,2026-01-01T04:15:43.416801+00:00,12.2,0,2304,1041.2,miss,0.0056976,offset=1152
gemini,granularity,2026-01-01T04:15:43.416801+00:00,14.2,0,2304,1041.2,miss,0.0056976,offset=1280
gemini,granularity,2026-01-01T04:15:43.416801+00:00,16.3,0,2304,1041.2,miss,0.0056976,offset=1536
gemini,granularity,2026-01-01T04:15:43.416801+00:00,18.3,0,2304,1041.2,miss,0.0056976,offset=1792
gemini,granularity,2026-01-01T04:15:43.416801+00:00,20.3,2048,256,478.0,hit,0.0031888,offset=2048
gemini,claims_check,2026-01-01T04:16:04.230000+00:00,1800.0,2048,0,401.2,hit,0.002856,claim=ttl_value:inside ttl=3600s
gemini,claims_check,2026-01-01T04:46:05.595600+00:00,5400.0,0,2048,964.4,miss,0.0053648,claim=ttl_value:past ttl=3600s
gemini,claims_check,2026-01-01T06:16:07.524400+00:00,2160.0,2048,0,401.2,hit,0.002856,claim=refresh_on_hit:first
gemini,claims_check,2026-01-01T06:16:07.524400+00:00,4320.0,0,2048,964.4,miss,0.0053648,claim=refresh_on_hit:second
gemini,claims_check,2026-01-01T07:28:09.854401+00:00,0.0,0,2048,964.4,write,0.0026824,claim=write_premium implied=1.000x expected=1.000x
gemini,claims_check,2026-01-01T07:28:10.818801+00:00,5.0,0,0,638.0,miss,0.000616,claim=min_cacheable:below n=960
gemini,claims_check,2026-01-01T07:28:17.094801+00:00,5.0,1088,0,377.2,hit,0.001536,claim=min_cacheable:above n=1088
deepseek,ttl_curve,2026-01-01T00:00:00+00:00,30.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T00:00:32.546880+00:00,60.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T00:01:35.093760+00:00,120.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T00:03:37.640640+00:00,240.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T00:07:40.187520+00:00,480.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T00:15:42.734400+00:00,960.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T00:31:45.281280+00:00,1920.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T01:03:47.828160+00:00,3840.0,2048,0,822.9,hit,0.00071392,
deepseek,ttl_curve,2026-01-01T02:07:50.375040+00:00,7680.0,2048,0,822.9,hit,0.00071392,
