provider,probe_type,event,probe_id,delay_s,t_iso,cache_creation,cache_read,input_tokens,latency_ms,est_cost_usd,note
anthropic,ttl,write,anth-30s,30,2026-07-06T15:52:10+00:00,4828,0,7,754.4,0.006042,
openai,ttl,write,open-30s,30,2026-07-06T15:52:11+00:00,0,0,4840,748.4,0.002904,
anthropic,ttl,write,anth-60s,60,2026-07-06T15:52:13+00:00,4825,0,7,1174.8,0.006038,
openai,ttl,write,open-60s,60,2026-07-06T15:52:16+00:00,0,0,4835,3147.8,0.002901,
anthropic,ttl,write,anth-120s,120,2026-07-06T15:52:17+00:00,4825,0,7,752.4,0.006038,
openai,ttl,write,open-120s,120,2026-07-06T15:52:18+00:00,0,0,4838,525.9,0.002903,
anthropic,ttl,write,anth-240s,240,2026-07-06T15:52:19+00:00,4829,0,7,1145.4,0.006043,
openai,ttl,write,open-240s,240,2026-07-06T15:52:19+00:00,0,0,4837,468.2,0.002902,
anthropic,ttl,write,anth-360s,360,2026-07-06T15:52:21+00:00,4827,0,7,1241.2,0.006041,
openai,ttl,write,open-360s,360,2026-07-06T15:52:22+00:00,0,0,4838,1308.0,0.002903,
anthropic,ttl,write,anth-480s,480,2026-07-06T15:52:23+00:00,4830,0,7,869.8,0.006045,
openai,ttl,write,open-480s,480,2026-07-06T15:52:28+00:00,0,0,4834,4271.3,0.002900,
anthropic,ttl,write,anth-720s,720,2026-07-06T15:52:29+00:00,4827,0,7,794.4,0.006041,
openai,ttl,write,open-720s,720,2026-07-06T15:52:29+00:00,0,0,4838,716.4,0.002903,
anthropic,ttl,write,anth-960s,960,2026-07-06T15:52:30+00:00,4825,0,7,755.5,0.006038,
openai,ttl,write,open-960s,960,2026-07-06T15:52:31+00:00,0,0,4839,632.4,0.002903,
anthropic,ttl,write,anth-1800s,1800,2026-07-06T15:52:32+00:00,4827,0,7,1521.0,0.006041,
openai,ttl,write,open-1800s,1800,2026-07-06T15:52:33+00:00,0,0,4842,572.7,0.002905,
anthropic,ttl,write,anth-3600s,3600,2026-07-06T15:52:34+00:00,4826,0,7,854.9,0.006039,
openai,ttl,write,open-3600s,3600,2026-07-06T15:52:35+00:00,0,0,4837,752.9,0.002902,
anthropic,ttl,read,anth-30s,30,2026-07-06T15:52:40+00:00,0,4828,7,557.2,0.000490,
anthropic,control,read,anth-control,,2026-07-06T15:52:41+00:00,4828,0,7,931.6,0.006042,
openai,ttl,read,open-30s,30,2026-07-06T15:52:42+00:00,0,4736,4840,579.2,0.001483,
openai,control,read,open-control,,2026-07-06T15:52:42+00:00,0,0,4838,590.0,0.002903,
anthropic,ttl,read,anth-60s,60,2026-07-06T15:53:13+00:00,0,4825,7,887.7,0.000490,
openai,ttl,read,open-60s,60,2026-07-06T15:53:14+00:00,0,4736,4835,588.4,0.001480,
anthropic,ttl,read,anth-120s,120,2026-07-06T15:54:15+00:00,0,4825,7,969.7,0.000490,
openai,ttl,read,open-120s,120,2026-07-06T15:54:17+00:00,0,4736,4838,1276.3,0.001482,
anthropic,ttl,read,anth-240s,240,2026-07-06T15:56:18+00:00,0,4829,7,978.9,0.000490,
openai,ttl,read,open-240s,240,2026-07-06T15:56:19+00:00,0,4736,4837,701.2,0.001481,
anthropic,ttl,read,anth-360s,360,2026-07-06T15:58:21+00:00,4827,0,7,965.0,0.006041,
openai,ttl,read,open-360s,360,2026-07-06T15:58:22+00:00,0,4736,4838,751.8,0.001482,
anthropic,ttl,read,anth-480s,480,2026-07-06T16:00:23+00:00,4830,0,7,770.4,0.006045,
openai,ttl,read,open-480s,480,2026-07-06T16:00:25+00:00,0,4736,4834,1097.9,0.001480,
anthropic,ttl,read,anth-720s,720,2026-07-06T16:04:26+00:00,4827,0,7,692.1,0.006041,
openai,ttl,read,open-720s,720,2026-07-06T16:04:27+00:00,0,0,4838,1195.1,0.002903,
anthropic,ttl,read,anth-960s,960,2026-07-06T16:08:28+00:00,4825,0,7,739.2,0.006038,
openai,ttl,read,open-960s,960,2026-07-06T16:08:30+00:00,0,0,4839,1458.1,0.002903,
anthropic,ttl,read,anth-1800s,1800,2026-07-06T16:22:31+00:00,4827,0,7,834.2,0.006041,
openai,ttl,read,open-1800s,1800,2026-07-06T16:22:33+00:00,0,0,4842,1763.2,0.002905,
anthropic,ttl,read,anth-3600s,3600,2026-07-06T16:52:33+00:00,4826,0,7,842.7,0.006039,
openai,ttl,read,open-3600s,3600,2026-07-06T16:52:36+00:00,0,0,4837,1942.2,0.002902,
meta,summary,,,,2026-07-06T16:52:36+00:00,,,,,0.157083,campaign_total_est_cost
