provider,arm,probe_type,event,probe_id,rep,delay_s,prefix_tokens_target,t_iso,cache_creation,cache_read,input_tokens,latency_ms,est_cost_usd,note
openai,,meta,meta,,,,,2026-07-06T16:52:56+00:00,,,,,0.000000,model_resolved:4o=gpt-4o
openai,,meta,meta,,,,,2026-07-06T16:52:57+00:00,,,,,0.000000,model_resolved:4o-mini=gpt-4o-mini
anthropic,,meta,meta,,,,,2026-07-06T16:52:58+00:00,,,,,0.000000,model_resolved:haiku=claude-haiku-4-5-20251001
anthropic,,meta,meta,,,,,2026-07-06T16:53:02+00:00,,,,,0.000000,model_resolved:sonnet=claude-sonnet-4-5
anthropic,anthropic-5m,ttl,write,anthropic-5m-d30-r0,0,30,4832,2026-07-06T16:53:03+00:00,4833,0,7,822.3,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d30-r0,0,30,4832,2026-07-06T16:53:05+00:00,0,0,4844,1050.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d30-r0,0,30,4832,2026-07-06T16:53:06+00:00,4834,0,7,652.0,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d30-r0,0,30,4832,2026-07-06T16:53:08+00:00,0,0,4843,677.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d120-r0,0,120,4832,2026-07-06T16:53:11+00:00,4835,0,7,1200.3,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d120-r0,0,120,4832,2026-07-06T16:53:13+00:00,0,0,4846,907.1,0.002908,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d120-r0,0,120,4832,2026-07-06T16:53:15+00:00,4832,0,7,871.1,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d120-r0,0,120,4832,2026-07-06T16:53:16+00:00,0,0,4845,527.6,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d240-r0,0,240,4832,2026-07-06T16:53:19+00:00,4835,0,7,1048.1,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d240-r0,0,240,4832,2026-07-06T16:53:21+00:00,0,0,4845,1468.5,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d240-r0,0,240,4832,2026-07-06T16:53:23+00:00,4832,0,7,785.6,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d240-r0,0,240,4832,2026-07-06T16:53:24+00:00,0,0,4844,607.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d285-r0,0,285,4832,2026-07-06T16:53:27+00:00,4834,0,7,926.9,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d285-r0,0,285,4832,2026-07-06T16:53:28+00:00,0,0,4843,670.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d285-r0,0,285,4832,2026-07-06T16:53:30+00:00,4835,0,7,559.3,0.009677,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d30-r0,0,30,4832,2026-07-06T16:53:33+00:00,0,4833,7,875.6,0.000490,d_act=30.1
openai,openai-inmem,ttl,write,openai-inmem-d285-r0,0,285,4832,2026-07-06T16:53:33+00:00,0,0,4844,1691.5,0.002906,model=gpt-4o-mini
openai,openai-24h,ttl,read,openai-24h-d30-r0,0,30,4832,2026-07-06T16:53:35+00:00,0,4736,4844,755.4,0.001486,d_act=29.7
anthropic,anthropic-5m,ttl,write,anthropic-5m-d315-r0,0,315,4832,2026-07-06T16:53:35+00:00,4834,0,7,813.9,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d315-r0,0,315,4832,2026-07-06T16:53:36+00:00,0,0,4846,660.3,0.002908,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d30-r0,0,30,4832,2026-07-06T16:53:37+00:00,0,4834,7,727.2,0.000490,d_act=30.1
openai,openai-inmem,ttl,read,openai-inmem-d30-r0,0,30,4832,2026-07-06T16:53:39+00:00,0,4736,4843,890.8,0.001485,d_act=30.2
anthropic,anthropic-1h,ttl,write,anthropic-1h-d315-r0,0,315,4832,2026-07-06T16:53:39+00:00,4833,0,7,944.9,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d315-r0,0,315,4832,2026-07-06T16:53:40+00:00,0,0,4842,587.5,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d360-r0,0,360,4832,2026-07-06T16:53:43+00:00,4831,0,7,1559.1,0.006046,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d360-r0,0,360,4832,2026-07-06T16:53:45+00:00,0,0,4848,783.3,0.002909,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d360-r0,0,360,4832,2026-07-06T16:53:47+00:00,4834,0,7,993.1,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d360-r0,0,360,4832,2026-07-06T16:53:48+00:00,0,0,4845,534.9,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d480-r0,0,480,4832,2026-07-06T16:53:51+00:00,4834,0,7,871.7,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d480-r0,0,480,4832,2026-07-06T16:53:53+00:00,0,0,4844,934.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d480-r0,0,480,4832,2026-07-06T16:53:54+00:00,4835,0,7,624.5,0.009677,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d480-r0,0,480,4832,2026-07-06T16:53:56+00:00,0,0,4845,596.0,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d720-r0,0,720,4832,2026-07-06T16:53:59+00:00,4835,0,7,870.3,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d720-r0,0,720,4832,2026-07-06T16:54:02+00:00,0,0,4844,2284.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d720-r0,0,720,4832,2026-07-06T16:54:03+00:00,4833,0,7,1205.4,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d720-r0,0,720,4832,2026-07-06T16:54:05+00:00,0,0,4844,839.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d1200-r0,0,1200,4832,2026-07-06T16:54:06+00:00,4833,0,7,626.2,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d1200-r0,0,1200,4832,2026-07-06T16:54:09+00:00,0,0,4844,926.6,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d1200-r0,0,1200,4832,2026-07-06T16:54:10+00:00,4832,0,7,589.7,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d1200-r0,0,1200,4832,2026-07-06T16:54:12+00:00,0,0,4841,531.2,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d2400-r0,0,2400,4832,2026-07-06T16:54:14+00:00,4833,0,7,603.3,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d2400-r0,0,2400,4832,2026-07-06T16:54:16+00:00,0,0,4845,499.2,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d2400-r0,0,2400,4832,2026-07-06T16:54:19+00:00,4833,0,7,754.9,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d2400-r0,0,2400,4832,2026-07-06T16:54:21+00:00,0,0,4843,1110.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d3600-r0,0,3600,4832,2026-07-06T16:54:23+00:00,4832,0,7,862.3,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d3600-r0,0,3600,4832,2026-07-06T16:54:24+00:00,0,0,4845,649.7,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d3600-r0,0,3600,4832,2026-07-06T16:54:27+00:00,4833,0,7,762.7,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d3600-r0,0,3600,4832,2026-07-06T16:54:28+00:00,0,0,4842,653.8,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d7200-r0,0,7200,4832,2026-07-06T16:54:31+00:00,4832,0,7,794.7,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d7200-r0,0,7200,4832,2026-07-06T16:54:32+00:00,0,0,4844,533.8,0.002906,model=gpt-4o-mini
