provider,arm,probe_type,event,probe_id,rep,delay_s,prefix_tokens_target,t_iso,cache_creation,cache_read,input_tokens,latency_ms,est_cost_usd,note
openai,,meta,meta,,,,,2027-01-15T08:00:00+00:00,,,,,0.000000,model_resolved:4o=gpt-4o
openai,,meta,meta,,,,,2027-01-15T08:00:00+00:00,,,,,0.000000,model_resolved:4o-mini=gpt-4o-mini
anthropic,,meta,meta,,,,,2027-01-15T08:00:00+00:00,,,,,0.000000,model_resolved:haiku=claude-haiku-4-5-20251001
anthropic,,meta,meta,,,,,2027-01-15T08:00:00+00:00,,,,,0.000000,model_resolved:sonnet=claude-sonnet-4-5
anthropic,anthropic-5m,ttl,write,anthropic-5m-d30-r0,0,30,4832,2027-01-15T08:00:00+00:00,4832,0,7,0.0,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d30-r0,0,30,4832,2027-01-15T08:00:02+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d30-r0,0,30,4832,2027-01-15T08:00:04+00:00,4832,0,7,0.0,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d30-r0,0,30,4832,2027-01-15T08:00:06+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d120-r0,0,120,4832,2027-01-15T08:00:08+00:00,4832,0,7,0.0,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d120-r0,0,120,4832,2027-01-15T08:00:10+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d120-r0,0,120,4832,2027-01-15T08:00:12+00:00,4832,0,7,0.0,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d120-r0,0,120,4832,2027-01-15T08:00:14+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d240-r0,0,240,4832,2027-01-15T08:00:16+00:00,4832,0,7,0.0,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d240-r0,0,240,4832,2027-01-15T08:00:18+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d240-r0,0,240,4832,2027-01-15T08:00:20+00:00,4832,0,7,0.0,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d240-r0,0,240,4832,2027-01-15T08:00:22+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d285-r0,0,285,4832,2027-01-15T08:00:24+00:00,4832,0,7,0.0,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d285-r0,0,285,4832,2027-01-15T08:00:26+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d285-r0,0,285,4832,2027-01-15T08:00:28+00:00,4832,0,7,0.0,0.009671,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d30-r0,0,30,4832,2027-01-15T08:00:30+00:00,0,4832,7,0.0,0.000490,d_act=30.0
openai,openai-inmem,ttl,write,openai-inmem-d285-r0,0,285,4832,2027-01-15T08:00:30+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
openai,openai-24h,ttl,read,openai-24h-d30-r0,0,30,4832,2027-01-15T08:00:32+00:00,0,4736,4840,0.0,0.001483,d_act=30.0
anthropic,anthropic-5m,ttl,write,anthropic-5m-d315-r0,0,315,4832,2027-01-15T08:00:32+00:00,4832,0,7,0.0,0.006047,model=claude-haiku-4-5-20251001
anthropic,anthropic-1h,ttl,read,anthropic-1h-d30-r0,0,30,4832,2027-01-15T08:00:34+00:00,0,4832,7,0.0,0.000490,d_act=30.0
openai,openai-24h,ttl,write,openai-24h-d315-r0,0,315,4832,2027-01-15T08:00:34+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
openai,openai-inmem,ttl,read,openai-inmem-d30-r0,0,30,4832,2027-01-15T08:00:36+00:00,0,4736,4840,0.0,0.001483,d_act=30.0
anthropic,anthropic-1h,ttl,write,anthropic-1h-d315-r0,0,315,4832,2027-01-15T08:00:36+00:00,4832,0,7,0.0,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d315-r0,0,315,4832,2027-01-15T08:00:38+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d360-r0,0,360,4832,2027-01-15T08:00:40+00:00,4832,0,7,0.0,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d360-r0,0,360,4832,2027-01-15T08:00:42+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d360-r0,0,360,4832,2027-01-15T08:00:44+00:00,4832,0,7,0.0,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d360-r0,0,360,4832,2027-01-15T08:00:46+00:00,0,0,4840,0.0,0.002904,model=gpt-4o-mini
