column,seed_idx,job,jct_ours_s,jct_lru_s,delta_pct
h100_swe,0,0,163.19,189.77,14.01
h100_swe,0,1,112.55,128.15,12.18
h100_swe,0,2,87.98,96.23,8.57
h100_swe,0,3,199.22,223.45,10.84
h100_swe,0,4,118.11,137.93,14.37
h100_swe,0,5,72.3,79.57,9.13
h100_swe,0,6,59.5,61.09,2.61
h100_swe,0,7,133.71,152.15,12.12
h100_swe,0,8,155.21,183.68,15.5
h100_swe,0,9,201.71,226.82,11.07
h100_swe,0,10,54.4,60.79,10.52
h100_swe,0,11,228.36,264.55,13.68
h100_swe,0,12,162.26,181.57,10.63
h100_swe,0,13,116.72,129.86,10.11
h100_swe,0,14,118.03,142.21,17.0
h100_swe,0,15,116.47,124.99,6.81
h100_swe,0,16,148.96,171.72,13.26
h100_swe,0,17,168.09,205.87,18.35
h100_swe,0,18,128.91,147.92,12.85
h100_swe,0,19,160.78,195.64,17.82
h100_swe,0,20,69.63,79.73,12.68
h100_swe,0,21,86.41,108.37,20.27
h100_swe,0,22,183.69,224.75,18.27
h100_swe,0,23,164.44,194.75,15.56
h100_swe,0,24,200.72,227.92,11.93
h100_swe,0,25,66.89,73.26,8.7
h100_swe,0,26,103.56,125.59,17.54
h100_swe,0,27,209.43,239.5,12.56
h100_swe,0,28,176.11,196.5,10.38
h100_swe,0,29,286.47,329.07,12.95
h100_swe,0,30,204.79,235.04,12.87
h100_swe,0,31,228.48,271.77,15.93
h100_swe,0,32,127.02,145.89,12.93
h100_swe,0,33,163.03,199.95,18.46
h100_swe,0,34,165.11,206.5,20.04
h100_swe,0,35,141.2,181.52,22.21
h100_swe,0,36,294.57,337.9,12.82
h100_swe,0,37,230.76,277.05,16.71
h100_swe,0,38,214.24,251.87,14.94
h100_swe,0,39,296.17,333.8,11.27
h100_swe,0,40,175.88,206.97,15.02
h100_swe,0,41,184.39,214.65,14.1
h100_swe,0,42,318.98,365.1,12.63
h100_swe,0,43,232.68,269.24,13.58
h100_swe,0,44,142.65,173.74,17.9
h100_swe,0,45,241.73,284.13,14.92
h100_swe,0,46,262.37,300.82,12.78
h100_swe,0,47,112.91,137.9,18.12
h100_swe,0,48,165.43,191.74,13.72
h100_swe,0,49,173.26,195.39,11.33
h100_swe,0,50,200.93,241.74,16.88
h100_swe,0,51,145.69,169.74,14.17
h100_swe,0,52,224.9,254.31,11.56
h100_swe,0,53,288.06,335.85,14.23
h100_swe,0,54,271.49,318.15,14.67
h100_swe,0,55,210.25,247.49,15.04
h100_swe,0,56,169.31,206.42,17.98
h100_swe,0,57,218.93,251.31,12.89
h100_swe,0,58,247.2,291.39,15.17
h100_swe,0,59,370.8,417.1,11.1
h100_swe,0,60,232.46,264.42,12.09
h100_swe,0,61,174.6,200.95,13.11
h100_swe,0,62,185.77,219.23,15.27
h100_swe,0,63,186.25,217.58,14.4
h100_swe,0,64,216.2,257.97,16.19
h100_swe,0,65,227.52,271.07,16.07
h100_swe,0,66,211.15,250.25,15.62
h100_swe,0,67,208.62,242.07,13.82
h100_swe,0,68,247.2,290.46,14.89
h100_swe,0,69,239.95,287.09,16.42
h100_swe,0,70,199.14,229.78,13.33
h100_swe,0,71,237.79,280.29,15.16
h100_swe,0,72,199.73,229.95,13.14
h100_swe,0,73,185.42,221.64,16.34
h100_swe,0,74,201.71,231.75,12.96
h100_swe,0,75,224.3,264.51,15.2
h100_swe,0,76,276.49,319.45,13.45
h100_swe,0,77,205.93,235.94,12.72
h100_swe,0,78,231.1,270.74,14.64
h100_swe,0,79,185.51,215.65,13.98
h100_swe,0,80,160.3,187.44,14.48
h100_swe,0,81,203.82,239.89,15.04
h100_swe,0,82,194.77,233.79,16.69
h100_swe,0,83,236.67,273.74,13.54
h100_swe,0,84,231.38,274.2,15.62
h100_swe,0,85,218.63,261.19,16.29
h100_swe,0,86,233.95,273.52,14.47
h100_swe,0,87,171.85,199.13,13.7
h100_swe,0,88,173.74,207.21,16.15
h100_swe,0,89,196.34,239.26,17.94
h100_swe,0,90,209.14,254.24,17.74
h100_swe,0,91,183.39,226.4,19.0
h100_swe,0,92,195.03,232.38,16.07
h100_swe,0,93,209.43,249.0,15.89
h100_swe,0,94,203.05,243.11,16.48
h100_swe,0,95,150.43,180.27,16.55
h100_swe,0,96,171.52,206.81,17.06
h100_swe,0,97,223.7,266.1,15.93
h100_swe,0,98,212.35,252.26,15.82
h100_swe,0,99,182.17,221.14,17.62
h100_swe,1,0,198.27,215.32,7.92
h100_swe,1,1,140.27,153.28,8.49
h100_swe,1,2,127.0,140.26,9.46
h100_swe,1,3,201.09,227.69,11.69
h100_swe,1,4,106.41,116.01,8.28
h100_swe,1,5,59.65,62.73,4.91
h100_swe,1,6,106.35,113.92,6.65
h100_swe,1,7,159.16,187.68,15.2
h100_swe,1,8,207.83,229.6,9.48
h100_swe,1,9,146.08,166.43,12.23
h100_swe,1,10,56.38,61.08,7.69
h100_swe,1,11,291.14,318.29,8.53
h100_swe,1,12,115.8,135.06,14.26
h100_swe,1,13,107.61,115.93,7.17
h100_swe,1,14,156.59,182.11,14.01
h100_swe,1,15,145.82,161.14,9.51
h100_swe,1,16,154.0,176.23,12.62
h100_swe,1,17,168.61,200.0,15.7
h100_swe,1,18,138.49,157.88,12.28
h100_swe,1,19,198.78,228.15,12.87
h100_swe,1,20,91.78,107.06,14.27
h100_swe,1,21,99.74,114.61,12.97
h100_swe,1,22,188.46,220.15,14.4
h100_swe,1,23,192.54,227.15,15.24
h100_swe,1,24,213.84,251.68,15.03
h100_swe,1,25,61.04,63.98,4.6
h100_swe,1,26,100.26,127.13,21.14
h100_swe,1,27,247.76,287.56,13.84
h100_swe,1,28,162.46,194.41,16.43
h100_swe,1,29,326.29,372.92,12.5
h100_swe,1,30,231.96,262.85,11.75
h100_swe,1,31,216.37,258.99,16.46
h100_swe,1,32,154.42,177.29,12.9
h100_swe,1,33,158.74,184.75,14.08
h100_swe,1,34,178.26,213.47,16.49
h100_swe,1,35,163.36,189.01,13.57
h100_swe,1,36,276.6,314.4,12.02
h100_swe,1,37,211.86,239.35,11.49
h100_swe,1,38,249.16,293.38,15.07
h100_swe,1,39,300.6,345.73,13.05
h100_swe,1,40,179.18,212.21,15.56
h100_swe,1,41,222.67,256.08,13.05
h100_swe,1,42,300.82,342.2,12.09
h100_swe,1,43,213.48,250.66,14.83
h100_swe,1,44,160.44,195.99,18.13
h100_swe,1,45,258.55,305.9,15.48
h100_swe,1,46,271.78,308.3,11.85
h100_swe,1,47,163.48,187.42,12.77
h100_swe,1,48,177.92,213.18,16.54
h100_swe,1,49,211.59,249.44,15.17
h100_swe,1,50,209.35,230.99,9.37
h100_swe,1,51,166.39,195.92,15.07
h100_swe,1,52,233.25,275.07,15.2
h100_swe,1,53,308.03,351.48,12.36
h100_swe,1,54,289.73,331.4,12.57
h100_swe,1,55,229.76,269.29,14.68
h100_swe,1,56,182.04,214.32,15.06
h100_swe,1,57,219.14,251.6,12.9
h100_swe,1,58,255.11,296.5,13.96
h100_swe,1,59,394.05,442.13,10.87
h100_swe,1,60,222.46,263.76,15.66
h100_swe,1,61,184.02,213.99,14.0
h100_swe,1,62,201.56,233.93,13.84
h100_swe,1,63,205.76,233.55,11.9
h100_swe,1,64,232.81,262.59,11.34
h100_swe,1,65,252.25,294.1,14.23
h100_swe,1,66,225.71,252.24,10.52
h100_swe,1,67,240.52,269.08,10.61
h100_swe,1,68,259.29,302.05,14.16
h100_swe,1,69,253.45,307.04,17.45
h100_swe,1,70,209.97,243.14,13.64
h100_swe,1,71,258.38,299.81,13.82
h100_swe,1,72,174.79,194.75,10.25
h100_swe,1,73,211.45,239.87,11.85
h100_swe,1,74,205.99,234.05,11.99
h100_swe,1,75,221.46,259.29,14.59
h100_swe,1,76,277.47,314.84,11.87
h100_swe,1,77,230.64,259.59,11.15
h100_swe,1,78,239.18,276.48,13.49
h100_swe,1,79,203.12,232.37,12.58
h100_swe,1,80,171.49,186.62,8.1
